category,name,count
overall,n_residues,129
overall,n_chains,1
overall,n_core,64
overall,n_surface,65
overall,n_high_priority,38
overall,n_medium_priority,0
overall,n_low_priority,91
environment,surface,65
environment,core,64
secondary_structure,helix,97
secondary_structure,sheet,30
secondary_structure,loop,2
mutation_priority,low,91
mutation_priority,high,38
aa_class,hydrophobic,34
aa_class,polar,34
aa_class,special,22
aa_class,positive,18
aa_class,aromatic,12
aa_class,negative,9
aa_charge_class,neutral,102
aa_charge_class,positive,18
aa_charge_class,negative,9
